Covariate,bin,count,Rate (%) (95% CI),Risk difference ± std (Tx-Placebo),Additive interaction,Relative risk ± std (Tx/Placebo),Group,mean,binom_err,TRT,SEP
MADCAM1,"(2.208, 19.571]",231,"5.19 (2.20, 3.66)",,,,0,0.05194805194805195,"[0.021985104305031124, 0.036643275111979554]",0,0.014601407132400738
MADCAM1,"(19.571, 60.369]",236,"8.47 (2.92, 4.25)",,,,1,0.0847457627118644,"[0.029217530364785166, 0.04251950126259965]",0,0.018129000834210825
MADCAM1,"(2.208, 19.571]",519,"41.04 (4.15, 4.28)",35.85±2.61,,7.90±11.44,0,0.41040462427745666,"[0.04151128719118036, 0.04282785052240157]",1,0.021592328467527264
MADCAM1,"(19.571, 60.369]",514,"68.48 (4.14, 3.87)",60.01±2.74,"0.242, p=0.00000 (super-additive)",8.08±9.40,1,0.6848249027237354,"[0.041408869781903834, 0.03866672837642826]",1,0.02049199119126311
SEXN,"(0.999, 1.999]",210,"8.57 (3.08, 4.57)",,,,0,0.08571428571428572,"[0.030809313470942727, 0.045693812671491724]",0,0.019317811536651807
SEXN,"(1.999, 2.0]",257,"5.45 (2.18, 3.49)",,,,1,0.054474708171206226,"[0.021751334678081602, 0.03487399600558576]",0,0.01415687735426183
SEXN,"(0.999, 1.999]",422,"48.10 (4.73, 4.76)",39.53±3.11,,5.61±10.61,0,0.48104265402843605,"[0.04728427112630906, 0.047626294489187426]",1,0.024322118492170672
SEXN,"(1.999, 2.0]",611,"59.25 (3.94, 3.83)",53.80±2.44,"0.143, p=0.00400 (super-additive)",10.88±10.46,1,0.5924713584288053,"[0.03942205137898813, 0.03826655052457528]",1,0.019878890590610737
BMCS,"(3.999, 8.999]",186,"11.29 (3.79, 5.35)",,,,0,0.11290322580645161,"[0.03786194450152772, 0.05352781987907142]",0,0.02320503368280589
BMCS,"(8.999, 12.0]",281,"3.91 (1.71, 2.96)",,,,1,0.03914590747330961,"[0.017149201826818655, 0.029579639629793583]",0,0.011569610672282257
BMCS,"(3.999, 8.999]",414,"73.19 (4.47, 4.04)",61.90±3.18,,6.48±9.47,0,0.7318840579710145,"[0.04465947031494788, 0.04039578110428321]",1,0.021771196216177964
BMCS,"(8.999, 12.0]",619,"42.33 (3.83, 3.93)",38.41±2.30,"0.235, p=0.00000 (super-additive)",10.81±11.62,1,0.42326332794830374,"[0.038331542464809354, 0.03927811004328058]",1,0.01985860695145537
PLATE,"(105.999, 322.999]",234,"9.83 (3.19, 4.49)",,,,0,0.09829059829059829,"[0.0318991219805818, 0.04487541410562888]",0,0.0194617262542675
PLATE,"(322.999, 836.0]",233,"3.86 (1.82, 3.31)",,,,1,0.03862660944206009,"[0.018174195248749497, 0.03314072086987521]",0,0.012624418481498914
PLATE,"(105.999, 322.999]",511,"62.82 (4.27, 4.08)",52.99±2.89,,6.39±9.22,0,0.6281800391389433,"[0.04271383122481598, 0.04080101579959716]",1,0.021379520788169664
PLATE,"(322.999, 836.0]",522,"46.74 (4.24, 4.29)",42.88±2.52,"0.101, p=0.03600 (super-additive)",12.10±12.83,1,0.4674329501915709,"[0.04240768774626552, 0.04288351550252939]",1,0.02183793437818009
STOOLFN,"(-0.001, 1.999]",94,"12.77 (5.31, 8.23)",,,,0,0.1276595744680851,"[0.05310143571558339, 0.08233915210290396]",0,0.03315458593157387
STOOLFN,"(1.999, 3.0]",373,"5.36 (1.86, 2.77)",,,,1,0.05361930294906166,"[0.018644154976690204, 0.027744815352224]",0,0.01166377418124115
STOOLFN,"(-0.001, 1.999]",178,"71.91 (7.01, 6.09)",59.14±4.73,,5.63±13.23,0,0.7191011235955056,"[0.07011618439639233, 0.06085902214837191]",1,0.03368681748296007
STOOLFN,"(1.999, 3.0]",855,"51.11 (3.35, 3.34)",45.75±2.07,"0.134, p=0.02900 (super-additive)",9.53±8.94,1,0.5111111111111111,"[0.03348111754047456, 0.03338172113768767]",1,0.017096258821649477
